id,ja,zh-CN
#,,
# -------------------------- prepare_checking_vehicle_condition -------------------------------------,,
#,,
prepare_checking_vehicle_condition,車両状態チェック準備,车辆状态确认
harness_connection_caution_statement,【注意】タブレットとハーネスを接続し、車両とハーネスを接続してください。,【注意】请确保VCI与车辆连接
checking_vehicle_condition_statment,車両を以下の状態にしてください。,请检查并确保车辆处于以下状态
steering_keep_go_straight,ハンドル直進,方向盘回直
wheel_chocks,車輪止め,轮胎锁止
P_range,Pレンジ,P档
throttle_OFF,アクセルOFF,油门关闭
engine_warmup,エンジン暖機後,发动机暖机
IG_ON,IG ON,IG ON
AC_OFF,エアコン OFF,空调 OFF
electric_load_OFF,電気負荷 OFF,车灯音响等电动系统 OFF
check,チェック,确认
#,,
# ----------------------------  start_checking_vehicle_condition -------------------------------------,,
#,,
start_checking_vehicle_condition_title,車両状態チェック開始,车辆信息确认
please_check_the_vehicle_information_and_press_the_start_button,内容を確認してから診断開始ボタンを押してください。,以下信息确认后，请按诊断开始按钮，如有错误请修改。
vehicle_type,車種,车型
corolla,カローラ,卡罗拉
vin_code,VINコード,VIN码
model_year,年式,年份
correction,修正,修改
start,診断開始,诊断开始
mechanic,整備士,保养员
overseas_passenger,海外(乗用),海外（乘用）
small_size,小型,小型
medium_size,中型,中型
large_size,大型,大型
temperature,気温,气温
vehicle_information,車両情報,车辆信息
implementation_information,実施情報,作业条件
drive_system,駆動方式,驱动方式
required_item,は必須項目です。,必须输入项目
#,,
# ----------------------------  instruction  ----------------------------------------------------------,,
#,,
instruction_title,車両健康診断,车辆健康诊断
step_ready,<br>0秒になったらブレーキを踏んで<br>エンジンを始動してください。,<br>请在倒计时变为0秒后踩下刹车踏板<br>并启动车辆引擎。
step_1,アイドル状態の診断中です。<br><br>しばらくお待ちください。,车辆怠速状态检测中。<br><br>请耐心等待。
step_1_end,<br>アイドル状態の診断が終了しました。,<br>车辆怠速状态检测结束。
step_2,回転数を2000rpmにしてください。<br>5秒後 診断がスタートします。<br>2000rpm一定のまま、<br>しばらくお待ちください。,请将转速调整到2000rpm<br>正式检测将在5秒后开始<br>请保持2000rpm直到检测结束
step_3,診断中です。<br><br>0秒になったらアクセルを戻してください。,检测进行中<br><br>请在倒计时变为0秒时<br>松开油门
step_4,2000rpm回転数の診断が終了しました。<br><br>アクセルを戻してしばらくお待ちください。,2000rpm条件检测结束<br><br>请松开油门稍等片刻
step_5,次はアクセル全開条件です。<br>もうすぐカウントダウンが始まります。0秒になったら、<br><span class='text-danger'>素早く一気に</span><br>アクセルを全開まで(床まで踏み込む)にして、<br>エンジン回転数を4000rpm以上に上昇させてから、<br>アクセルを素早く戻してください。,下面是油门全开条件检测<br>马上就要开始倒计时<br>请在倒计时变为0秒时<br><span class='text-danger'>猛踩油门到底</span><br>使发动机转速升到4000rpm以后<br>快速松开油门
step_6,診断中です。<br><br>素早く一気に<br>アクセルを全開まで(床まで踏み込む)にして、<br>エンジン回転数を4000rpm以上に上昇させてから、<br>アクセルを素早く戻してください。,检测进行中<br><br>猛踩油门到底<br>使发动机转速升到4000rpm以后<br>快速松开油门
step_7,健康診断終了です。<br>お疲れ様でした。<br>エンジンを停止してください。<br>診断結果は健康レポートを参照してください。,健康诊断已完成，感谢您的配合<br>请关闭发动机<br>诊断结果请参照车辆健康诊断报告
cound_down,カウントダウン,倒计时
engine_RPM,エンジン回転数,发动机转速
#,,
# ----------------------------------  login  ----------------------------------------------------------,,
#,,
diag_login_title,云诊车,云诊车
sign_in,サインイン,用户登录
phone_number,電話番号,用户名/已验证手机号
phone_number_label,電話番号,用户名/手机号
password,パスワード,密码
password_label,パスワード,密码
remember_me,入力内容を保存する,留存登录信息
in_case_of_forgetting_password,パスワードを忘れた場合,忘记密码
register_a_new_membership,新規登録,新用户注册
registration_ok,OK,提交
#,,
# -------------------------------  new member registration  -------------------------------------------,,
#,,
new_member_registration,新規会員登録,新用户注册
full_name_label,名前,名字
placeholder_full_name,例：電装　光士,例：电装 光士
placeholder_phone_number,例：12345678901,例：12345678901
sex_label,性別,性别
male,男性,男
female,女性,女
nickname_label,ニックネーム,昵称
placeholder_nickname,例：デンデン,例：电电
birthday_label,生年月日,生日
placeholder_birthday,例：20181113,例：20181113
address_label,所在地,所在地
shanghai,上海,上海
Beijing,北京,北京
garage_label,店舗名,店名
placeholder_garage,例：DENSO刈谷店,例：DENSO北京
year_of_experience_label,経験年数,工龄
placeholder_year_of_experience,例：10,例：10
qualification_label,資格,认定资格
placeholder_qualification,例：2級ガソリン自動車整備士,例：2级汽车修理工
specialty_label,得意分野,修理擅长
placeholder_specialty,例：エンジン,例：发动机
rank_label,RANK,会员等级
password_to_confirm_label,パスワード(確認),密码确认
current_password_label,現在のパスワード,当前密码
security_code_label,確認コード,验证码
send_SMS_button,確認コードSMS送信,发送验证码
SMS_waiting_message,秒後に再送できます,秒后再次重发
agree_to_terms,利用規約に同意する,同意使用规则
agree_to_privacy_policy,プライバシーポリシーに同意する,同意隐私保护规则
register_title,登録,登录
required,（必須）,（必须）
select_all,全て,全部
#,,
# ----------------------------------------  my_profile  --------------------------------------------------,,
#,,
user_information,ユーザ情報,用户信息
user_info_edit,ユーザ情報編集,用户信息编辑
update_title,更新,更新
edit,編集,编辑
public,公開,公开
private,非公開,不公开
verified,確認済,已确认
bind,確認済,已绑定
term,契約期間,会员期限
point,Point,积分
this_year,年間,当前有效积分
total,合計,累计积分
balance,残高,可提现金额
cumulative_total,累計,累计获取红包总金额
search_history,検索履歴,事例检索记录
browsing_history,投稿履歴,事例投稿记录
inquiry_history,問い合わせ履歴,事例问询记录
date,年月日,日期
condition,条件,条件
search_history_1,"ブランド:トヨタ, 車種:カローラ, 主な症状:始動不良・不可",品牌：丰田，车型：卡罗拉，主要症状：启动不良・不能
search_history_2,"ブランド:トヨタ, 車種:カローラ, 主な症状:エンスト",品牌：丰田，车型：卡罗拉，主要症状：熄火
views,閲覧回数,阅览量
browsing_history_1,エンジンが掛からない,发动机无法启动
browsing_history_2,電気系統が反応しない,电气系统无法启动
inquiry_date,問い合わせ年月日,咨询日期
update_date,更新年月日,更新日期
news,新着情報,新消息
exist,あり,有
none,なし,没有
rank,RANK,会员等级
gold,GOLD,专家
tip,Tip,红包
phone_number_profilem,電話番号,用户名（手机号）
qualification,XXXXXX2級,国家修理技师2级
specialty,日系車,日系车
diagnosis_date,実施日時,施行日期
report_no,レポートNo.,报告号码
diagnosis_history,健康診断履歴,健康诊断记录
editing_infomsg,編集機能ただいま修正中,目前编辑机能暂未开放
confirm_delete_user,削除するとサインインできなくなります。いいですか？,如果删除它，则无法登录。好吗？
#,,
# -------------------------------------  modal  ----------------------------------------------------------,,
#,,
confirmation_title,確認,确认
send_confirmation,入力された内容を送信します。よろしいですか？,是否确认发布新帖？
send_confirmation_for_registration,入力された内容を送信します。よろしいですか？,请确认提交信息准确无误。是否提交？
ok,OK,发布
cancel,cancel,取消
#,,
# -----------------------------------  diagnosis report  ---------------------------------------------------------------------,,
#,,
report_feature,目に見えない車の健康状態をチェック,检查无法看到的车辆内部系统的健康状态
report_tilte,コンピュータ診断レポート,车辆健康诊断报告
engine_type,ガソリンエンジン,汽油发动机
company,株式会社　デンソー,DENSO Corporation
branch,刈谷店,刈谷店
address,刈谷市昭和町1-1,刈谷市昭和町1-1
phone_label,TEL,TEL
fax_label,FAX,FAX
staff_label,担当スタッフ,检测员
staff,桃太郎,赵一
inspection_day_label,診断実施日,诊断日期
customer_name_label,お客様名,客户姓名
customer_name,浦島　太郎,一休
registration_no_label,登録番号,注册号码
car_type_label,車名,车辆品牌
initial_registration_label,初度登録,初次注册
mileage,走行距離,行驶里程
previous_inspection_day_label,前回実施日,上次诊断日期
previous_mileage_label,前回走行距離,上次行驶里程
overall_diagnosis_title,故障診断チェック,系统故障码检查
overall_diagnosis_description,クルマの高度な電子制御装置を診断。目に見えない故障をチェックします。,诊断汽车的电子控制设备，可以查出无法看到的内部系统故障
diagnosis_result_ok,異常は見つかりませんでした。,没有发现异常。
label_system,系統,系統
power_train_label,①パワートレイン,①动力传动系
chassis_label,②シャーシ,②底盘
body_label,③ボディ,③车身
network_label,④ネットワーク,④网络
title_comprehensive_result,最終結果,最终结果
good_condition_icon,OK,OK
engine_diagnosis_title,エンジン状態チェック,发动机状态动态检查
engine_diagnosis_outline,始動、アイドリング、アクセル踏み込みなど、常用的な使用を想定した様々な条件下で、エンジンの健康状態をチェックします。,通过模拟启动，怠速，踩油门等常用驾驶条件，检查发动机的健康状况。
engine_diagnosis_outline_suggest_comparison,前回の診断結果（数値）と比較して確認することもできます。,可以与上次诊断结果（数值）相比较进行确认。
refer_to_the_following_malfunction_diagnosis_detail,診断の詳細は裏面をご覧ください。,请参考「系统故障码检查详细信息」。
engine_state_check_detail,エンジン状態チェック詳細,发动机状态动态检查详细信息
engine_control_diagnosis,エンジン制御診断,■发动机控制诊断结果
engine_control_sensor_diagnosis,エンジン制御用センサー診断,■发动机控制传感器诊断结果
refer_to_the_following_engine_diagnosis_detail,診断の詳細は裏面をご覧ください。,请参考「发动机状态动态检查详细信息」。
disclaimer,【免責事項】本診断の結果は参考情報であり、自動車及びその部品に関する性能を保証するものではありません。本診断結果により生じた被害について、いかなる責任も負わないものと致します。,【免责声明】本次诊断的结果为参考信息，本公司不对汽车及其零部件的相关性能作出任何保证。对于因本诊断结果导致的损失，本公司不承担任何责任。
title_diagnosis_result,診 断 結 果,诊 断 结 果
etc,など,等
#,,
# ------------------------------------------  diagnostic result  -----------------------------------------------,,
#,,
diagnostic_result_title,診断結果編集,诊断结果确认
client_information_title,車両情報,车辆信息
system_number,システム数,系统数量
error_code_number,故障コード件数,故障码数量
mark_warning_description,チェックボックスにチェックを入れると、該当項目がレポート画面で黄色にマークされます。,"勾选的项目将会在诊断报告中以黄色高亮背景显示,提醒用户注意."
#,,
# ------------------------------------------  malfunction diagnosis detail  -----------------------------------------------,,
#,,
malfunction_diagnosis_detail,故障診断チェック詳細,系统故障码检查详细信息
inspection_needed,要チェック,要检查
good_condition_system,診断チェック良好システム,检查结果良好的系统
report_good_condition,良好です。,良好
notice_error_code_detection,エラーコードを検出しました。,检测出了故障码：
engine,エンジン,发动机
electronic_stability_control,横滑り防止機能,防侧滑系统等
antilock_brake_system,ABS,ABS
communication_between_embeded_computers,車載コンピュータ間の通信状況,车载ECU之间的通信状况
cruise_control,クルーズコントロール,巡航控制
light_doorlock_powerseat,ライト・ドアロック・パワーシート,车灯，车门锁，电动座椅
abs-vsc-trc,ABS-VSC-TRC(CAN),ABS-VSC-TRC(CAN)
electric_power_steering,電動パワステ,电动助力转向
except_sil_nhw11_sys_with_brush,(SIL NHW11系以外　ブラシ付きタイプ）,(SIL NHW11系列以外　带刷型）
sil_racktype,(SIL ラックタイプ),(SIL机架型）
airbag,エアバッグ(SIL2),气囊(SIL2)
rear_right_seat_door,RR席ドア,RR席侧门
electric_power_back_door,パワーバックドア,电动后门
driver_seat_motor,D席モータ,D席电机
passenger_seat_motor,p席モータ,P席电机
rear_left_seat_motor,RL席モータ,RL席电机
rear_right_seat_motor,RR席モータ,RR席电机
electric_power_window_switch,パワーウィンドウSW,电动车窗按键
slide_roof,スライドルーフ,滑动天窗
speedometer,メータ(CAN),仪表盘
afs,AFS,AFS
reference,照合,参考
navigation_system,ナビゲーションシステム,导航系统
detected_error_code,検出エラーコード,检测出故障码
system,システム名,系统名
error_code,エラーコード,故障码
error_code_state,エラーコードステータス,故障码状态
present,現在,现在
past,過去,过去
pending,ペンディング,待定
mainbody,メインボディー,车身
good_condition,コンディション,良好状态
detected_nothing_special,診断結果からお車の異常は見受けられませんでした。,诊断结果中没有发现汽车存在异常情况。
detected_problem,異常の兆候が見られます。,发现异常
detected_problem_on_body,ボディ系に異常の兆候が見られます。,车身系统发现异常征兆，
recommend_inspection,点検することをおすすめ致します。,建议进行检修。
refer_to_details,詳細は以下の通り。,详情如下
immobilizer_and_ecu_communication_error,イモビ：別体ECU通信異常,发动机电子防盗系统：ECU通信异常
id_codebox_and_engine_communication_error,IDコードボックス-->エンジン間通信異常,ID代码盒-->发动机之间通信异常
ac_can,A/C (CAN),A/C (CAN)
ac_air_conditioner,A/C（空調）,A/C（空调）
navigator_side_sun_load_sensor_output_abnormal,（ナビゲータ側）日照センサー（室内出力正常）,（副驾驶座椅）日照传感器（室内输出为正常）
driver_side_sun_load_sensor_output_abnormal,（ドライバー側）日照センサー（室内出力正常）,（驾驶座椅）日照传感器（室内输出为正常）
#,,
# ---------------------------------------   engine diagnosis result detail  ---------------------------------------------,,
#,,
inspection_condition,コンディション,状态
item,項目,项目
inspect_condition,測定条件,检测条件
previous_time,前回,上次
this_time,今回,本次
reference_value,参考値,参考値
engine_start,始動,启动
idle_rpm,アイドル回転数,怠速转速
air_fuel_ratio_bank1,空燃比バンク1,空燃比气缸列1
coolant,冷却水,冷却水
battery_charging_level,充電,充电
throttle_sensor_bank1,スロットルセンサーバンク1,节气门传感器气缸列1
manifold_absolute_pressure_sensor,吸気管圧力センサー,进气管压力传感器
aero_flow_meter_bank1,エアロフロメーターバンク1,空气流量计气缸列1
air_fuel_ratio_sensor_bank1_sensor1,A/Fセンサーバンク1センサー1,A/F传感器气缸列1传感器1
oxygen_sensor_bank1_sensor1,O2センサーバンク1センサー1,氧传感器气缸列1传感器1
control_state,制御状態,控制状态
correction_value,補正値,修正值
learned_value,学習値,学习值
idle,アイドル,怠速
neutral,ニュートラル,（空挡）
inspecting,実施中1,进行中
not_greater,以下,以下
lean,リーン,稀
rich,リッチ,浓
stamp_on_accel_pedal,アクセル全開,油门全开
release_accel_pedal,アクセル全閉,油门全关
times,倍,倍
greater,以上,以上
#,,
# ------------------------------  header tab  ---------------------------------------,,
#,,
search_case,修理事例検索,修理事例检索
# inquiry_case,,
inquiry_case_title,修理事例問い合せ,修理事例问询
poster,投稿者,作者
brand,ブランド,品牌
brand_toyota,トヨタ,丰田
brand_nissan,日産,日产
brand_honda,ホンダ,本田
brand_mazda,マツダ,马自达
brand_suzuki,スズキ,铃木
brand_daihatsu,ダイハツ,大发
brand_mitsubishi,三菱,三菱
brand_subaru,スバル,斯巴鲁
brand_other,その他,其他
car_type,車名,车名
car_type_corolla,カローラ,卡罗拉
car_type_prius_c,アクア,Prius c
car_type_prius,プリウス,普瑞斯
car_type_sienta,シエンタ,Sienta
car_type_vellfire,ヴェルファイア,Vellfire
car_type_x-trail,エクストレイル,奇骏
car_type_note,ノート,Note
car_type_elgrand,エルグランド,君爵
car_type_leaf,リーフ,聆风
car_type_march,マーチ,March
car_type_fairlady_z,フェアレディＺ,Z系列
car_type_stepwgn,ステップワゴン,Stepwgn
car_type_insight,インサイト,洞察者
car_type_odyssey,オデッセイ,奥德赛
car_type_cx-5,ＣＸ－５,CX-5
car_type_bongo,ボンゴバン,Bongo
car_type_cx-8,ＣＸ－８,CX-8
car_type_axela,アクセラ,马自达3
car_type_flair_wagon,フレアワゴン,Flair Wagon
car_type_mx-5,アテンザ,MX-5
car_type_spacia,スペーシア,Spacia
car_type_wagon_r,ワゴンＲ,Wagon R
car_type_hustler,ハスラー,Hustler
car_type_jimny,ジムニー,Jimny
car_type_solio,ソリオ,Solio
car_type_every,エブリイ,Every
car_type_swift,スイフト,Swift
car_type_alto,アルト,Alto
car_type_tanto,タント,Tanto
car_type_move,ムーヴ,Move
car_type_outlander,アウトランダー,欧蓝德
car_type_outlander_phev,アウトランダーＰＨＥＶ,欧蓝德ＰＨＥＶ
car_type_pajero,パジェロ,帕杰罗
car_type_xv,ＸＶ,XV
car_type_levorg,レヴォーグ,Levorg
car_type_impreza,インプレッサスポーツ,翼豹
car_type_sambar,サンバートラック,Sambar
car_type_brz,ＢＲＺ,BRZ
car_type_stella,ステラ,Stella
car_type_justy,Justy,Justy
car_type_legacy_outback,レガシィアウトバック,傲虎
car_type_other,その他,其他
frequency,頻度,故障频率
always,常時、毎回,每天
sometimes,たまに,偶尔
only_once,過去に１、２回だけ,过去只有1或2次
parts,製品区分,推断故障评价
parts_label,製品区分,系统类别
gasoline_engine,ガソリンエンジン,发动机
battery,バッテリー・充電,电池・充电
transmission,トランスミッション,变速箱
chassis,シャーシ,底盘
car_body,ボディ,车身
AC,エアコン,空调
media,情報・AV機器,通信・音响设备
other,その他,其他
symptoms,主な症状,主要症状
startup_problem,始動不良・不可,启动不良・无法启动
idling_problem,アイドル不調,怠速不稳
engine_stop,エンスト,熄火
acceleration_problem,加速が悪い,加速不良
overheat,オーバーヒート,过热
allophone,異音がする,有异响
engine_check_lamp,チェックエンジンランプ点灯のみ（症状自覚なし）,发动机自检灯常亮
symptoms_detail,詳細,故障详细描述
not_cranking,クランキングしない,发动机曲轴不转
not_initial_explosion,初爆がない,没有点火迹象
not_complete_explosion,初爆があるが完爆がない,点火正常没有正常燃烧
long_startup_time,始動できるが始動時間が長い,启动时间过长
other_symptoms,他の症状,其他症状
malfunction_code,故障コード,故障码
detailed_information,詳細情報,详细描述
